Data;Mese;Descrizione;Importo Entrata;Importo Uscita;Categoria;Conto
06/03/2025;Marzo;cibiclette;;14,00 €;Bar e Ristoranti;ING - CC
06/03/2025;Marzo;pranzo;;8,00 €;Bar e Ristoranti;Buoni Pasto
07/03/2025;Marzo;dominio thetombrider.xyz;;7,80 €;Shopping;Buddybank
07/03/2025;Marzo;birre;;18,00 €;Bar e Ristoranti;Buddybank
07/03/2025;Marzo;benzina;;12,60 €;Viaggi e Trasporti;ING - CC
07/03/2025;Marzo;spesa;;32,00 €;Spesa;Buoni Pasto
08/03/2025;Marzo;gelato;;7,00 €;Bar e Ristoranti;Satispay
08/03/2025;Marzo;cinese;;30,92 €;Bar e Ristoranti;Buddybank
09/03/2025;Marzo;pansotti;;10,90 €;Spesa;Satispay
09/03/2025;Marzo;gelato;;3,00 €;Bar e Ristoranti;Satispay
10/03/2025;Marzo;risparmi;50,00 €;;Trasferimenti;Revolut
10/03/2025;Marzo;metro;;2,20 €;Viaggi e Trasporti;Buddybank
10/03/2025;Marzo;libri;;17,90 €;Shopping;Revolut
10/03/2025;Marzo;metro;;2,20 €;Viaggi e Trasporti;Buddybank
10/03/2025;Marzo;risparmi;;50,00 €;Trasferimenti;ING - CC
10/03/2025;Marzo;addebito carta di credito;;63,08 €;Shopping;ING - CC
10/03/2025;Marzo;pranzo;;2,00 €;Bar e Ristoranti;ING - CC
10/03/2025;Marzo;pranzo;;8,00 €;Bar e Ristoranti;Buoni Pasto
11/03/2025;Marzo;caffè;;3,70 €;Bar e Ristoranti;Satispay
11/03/2025;Marzo;backblaze;;1,71 €;Casa e Utenze;ING - CC
11/03/2025;Marzo;tassi di cambio;;0,03 €;Altro;ING - CC
12/03/2025;Marzo;github copilot;;9,63 €;Casa e Utenze;Buddybank
12/03/2025;Marzo;macellaio;;21,12 €;Spesa;Allianz
12/03/2025;Marzo;burger;;3,30 €;Bar e Ristoranti;Buddybank
12/03/2025;Marzo;commissioni bancarie;;0,11 €;Altro;Buddybank
12/03/2025;Marzo;openai;;6,09 €;Casa e Utenze;Buddybank
12/03/2025;Marzo;prime;;4,99 €;Casa e Utenze;ING - CC
13/03/2025;Marzo;caffè;;2,40 €;Bar e Ristoranti;Satispay
13/03/2025;Marzo;pranzo;;17,00 €;Bar e Ristoranti;ING - CC
13/03/2025;Marzo;iliad;;9,99 €;Casa e Utenze;ING - CC
14/03/2025;Marzo;dentifricio;;6,19 €;Spesa;ING - CC
14/03/2025;Marzo;bla bla car;;14,89 €;Viaggi e Trasporti;ING - CC
14/03/2025;Marzo;pizza;;15,00 €;Bar e Ristoranti;ING - CC
14/03/2025;Marzo;unipolmove;;195,40 €;Viaggi e Trasporti;ING - CC
15/03/2025;Marzo;caffè;;2,40 €;Bar e Ristoranti;Satispay
16/03/2025;Marzo;multa;;37,97 €;Altro;Buddybank
17/03/2025;Marzo;ricarica satispay;43,75 €;;Trasferimenti;Satispay
17/03/2025;Marzo;bar;;6,40 €;Bar e Ristoranti;Satispay
17/03/2025;Marzo;cena farinata;;20,00 €;Bar e Ristoranti;Buddybank
17/03/2025;Marzo;ricarica satispay;;43,75 €;Trasferimenti;ING - CC
